annotation,begin_datetime,end_datetime,exclusion_flag,id,instrument,method,node,parameter_ids,parameter_names,qc_flag,site,source,stream 
"Deployment 2: Wind speed may be biased low - initial comparison with the ship sensors showed wind speeds that were lower than the ship observations by up to 5 m/s, more so at speeds exceeding ~8 kts.",2015-11-14T13:06:00Z,2016-11-08T02:10:00Z,False,649,06-METBKA000,,SBD12,[],[],,GA01SUMO,lgarzio@marine.rutgers.edu,
Deployment 2: There is a gap in collected data between the deployment of the instrument and the start of data collection. No data available.,2015-11-14T13:06:00Z,2015-11-20T21:23:20Z,False,4943,02-CTDBPP031,,RII11,[],[],not_operational,GA01SUMO,areed@whoi.edu,
"Deployments 2-3: Due to incorrect instrument configuration, these data products cannot be calculated.",2015-11-14T13:06:00Z,2018-01-14T02:24:00Z,False,2933,05-WAVSSA000,recovered_host,SBD12,[],[],,GA01SUMO,swhite@whoi.edu,wavss_a_dcl_motion_recovered
Deployment 2: Recovered_instrument data not available - instrument did not log internally.,2015-11-14T13:06:00Z,2016-11-08T02:10:00Z,False,614,04-VELPTA000,,RID16,[],[],,GA01SUMO,lgarzio@marine.rutgers.edu,
UPDATED 2020-06-19: The data calculation issue was resolved on 15 Feb 2019. * Dissolved Oxygen concentrations are currently not being calculated due to a function error. Issue under investigation (Redmine 13228).,2015-11-14T13:06:00Z,2018-01-13T16:00:00Z,False,784,02-DOSTAD032,,RII11,[],[],,GA01SUMO,lgarzio@marine.rutgers.edu,
Deployment 2: No data available for the specified time period.,2015-11-14T13:06:00Z,2015-11-20T21:23:21Z,False,5007,02-FLORDG031,,RII11,[],[],not_operational,GA01SUMO,areed@whoi.edu,
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-11-14T13:06:00Z,2015-11-14T14:00:00Z,False,3584,02-CTDBPP033,,RII11,[],[],,GA01SUMO,swhite@whoi.edu,
"Deployment 2: Upon recovery, the bottom of the buoy was heavily biofouled with barnacles.",2015-11-14T13:06:00Z,2016-11-08T02:10:00Z,False,663,,,SBD11,[],[],,GA01SUMO,lgarzio@marine.rutgers.edu,
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-11-14T13:06:00Z,2015-11-14T14:00:00Z,False,3587,02-DOSTAD033,,RII11,[],[],,GA01SUMO,swhite@whoi.edu,
Deployment 2: Recovered_instrument data not available - the instrument had lost its protective mesh covering and had barnacles growing inside.,2015-11-14T13:06:00Z,2016-11-08T02:10:00Z,False,617,02-PHSENE041,,RII11,[],[],,GA01SUMO,lgarzio@marine.rutgers.edu,
"Deployments 2-3: Due to incorrect instrument configuration, these data products cannot be calculated.",2015-11-14T13:06:00Z,2018-01-14T02:24:00Z,False,2930,05-WAVSSA000,telemetered,SBD12,[],[],,GA01SUMO,swhite@whoi.edu,wavss_a_dcl_mean_directional
"Deployment 2: Wind speed may be biased low - initial comparison with the ship sensors showed wind speeds that were lower than the ship observations by up to 5 m/s, more so at speeds exceeding ~8 kts.",2015-11-14T13:06:00Z,2016-11-08T02:10:00Z,False,648,06-METBKA000,,SBD11,[],[],,GA01SUMO,lgarzio@marine.rutgers.edu,
UPDATED 2020-06-19: The data calculation issue was resolved on 15 Feb 2019. * Dissolved Oxygen concentrations are currently not being calculated due to a function error. Issue under investigation (Redmine 13228).,2015-11-14T13:06:00Z,2018-01-13T16:00:00Z,False,785,02-DOSTAD033,,RII11,[],[],,GA01SUMO,lgarzio@marine.rutgers.edu,
"Deployments 2-3: Due to incorrect instrument configuration, these data products cannot be calculated.",2015-11-14T13:06:00Z,2018-01-14T02:24:00Z,False,2931,05-WAVSSA000,recovered_host,SBD12,[],[],,GA01SUMO,swhite@whoi.edu,wavss_a_dcl_mean_directional_recovered
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-11-14T13:06:00Z,2015-11-14T14:00:00Z,False,3586,02-DOSTAD032,,RII11,[],[],,GA01SUMO,swhite@whoi.edu,
Deployment 2: Colocated VELPT seawater velocity magnitudes for this deployment are higher than expected. A cause has not been determined for this anomoly. Parameters dependent on seawater velocity and current speed should be considered suspect.,2015-11-14T13:06:00Z,2016-11-08T02:10:00Z,False,5106,06-METBKA000,recovered_host,SBD11,"[3079, 3080, 3081, 3082, 3083, 3084, 3085, 3086, 3087, 3088, 3089, 3090, 3091, 3092]","['met_buoyfls', 'met_buoyflx', 'met_frshflx', 'met_heatflx', 'met_latnflx', 'met_mommflx', 'met_netlirr', 'met_rainflx', 'met_sensflx', 'met_sphum2m', 'met_stablty', 'met_tempa2m', 'met_tempskn', 'met_wind10m']",suspect,GA01SUMO,areed@whoi.edu,metbk_hourly
Deployment 2: This instrument was not deployed during this time period.,2015-11-14T13:06:00Z,2016-11-08T02:10:00Z,False,3569,02-PCO2WC053,,RII11,[],[],,GA01SUMO,swhite@whoi.edu,
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-11-14T13:06:00Z,2015-11-14T14:00:00Z,False,3583,02-CTDBPP032,,RII11,[],[],,GA01SUMO,swhite@whoi.edu,
"Deployment 2: Velocity magnitudes for this deployment are higher than expected.  A cause has not been determined for this anomaly. This data should be considered suspect.  If the data are used, they should be compared to other velocity data (e.g., from ADCPs) in the Array to determine a possible correction factor.",2015-11-14T13:06:00Z,2016-11-08T02:10:00Z,False,2910,04-VELPTA000,,RID16,[],[],suspect,GA01SUMO,swhite@whoi.edu,
"Deployments 2-3: Due to incorrect instrument configuration, these data products cannot be calculated.",2015-11-14T13:06:00Z,2018-01-14T02:24:00Z,False,2932,05-WAVSSA000,telemetered,SBD12,[],[],,GA01SUMO,swhite@whoi.edu,wavss_a_dcl_motion
"Deployment 2: At recovery, protective mesh had been damaged and some screws were loose.",2015-11-14T13:06:00Z,2016-11-08T02:10:00Z,False,665,02-PCO2WC051,,RII11,[],[],,GA01SUMO,lgarzio@marine.rutgers.edu,
Deployment 2: Colocated VELPT seawater velocity magnitudes for this deployment are higher than expected. A cause has not been determined for this anomoly. Parameters dependent on seawater velocity and current speed should be considered suspect.,2015-11-14T13:06:00Z,2016-11-08T02:10:00Z,False,5107,06-METBKA000,telemetered,SBD11,"[3079, 3080, 3081, 3082, 3083, 3084, 3085, 3086, 3087, 3088, 3089, 3090, 3091, 3092]","['met_buoyfls', 'met_buoyflx', 'met_frshflx', 'met_heatflx', 'met_latnflx', 'met_mommflx', 'met_netlirr', 'met_rainflx', 'met_sensflx', 'met_sphum2m', 'met_stablty', 'met_tempa2m', 'met_tempskn', 'met_wind10m']",suspect,GA01SUMO,areed@whoi.edu,metbk_hourly
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-11-14T13:06:00Z,2015-11-14T14:00:00Z,False,3590,02-FLORDG033,,RII11,[],[],,GA01SUMO,swhite@whoi.edu,
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-11-14T13:06:00Z,2015-11-14T14:00:00Z,False,3582,02-CTDBPP031,,RII11,[],[],,GA01SUMO,swhite@whoi.edu,
Deployment 2: Colocated VELPT seawater velocity magnitudes for this deployment are higher than expected. A cause has not been determined for this anomoly. Parameters dependent on seawater velocity and current speed should be considered suspect.,2015-11-14T13:06:00Z,2016-11-08T02:10:00Z,False,5077,06-METBKA000,telemetered,SBD12,"[3072, 3073, 3070, 3071]","['met_relwind_direction', 'met_relwind_speed', 'met_current_direction', 'met_current_speed']",suspect,GA01SUMO,areed@whoi.edu,metbk_a_dcl_instrument
UPDATED 2020-06-19: The data calculation issue was resolved on 15 Feb 2019. * Dissolved Oxygen concentrations are currently not being calculated due to a function error. Issue under investigation (Redmine 13228).,2015-11-14T13:06:00Z,2018-01-13T16:00:00Z,False,783,02-DOSTAD031,,RII11,[],[],,GA01SUMO,lgarzio@marine.rutgers.edu,
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-11-14T13:06:00Z,2015-11-14T14:00:00Z,False,3589,02-FLORDG032,,RII11,[],[],,GA01SUMO,swhite@whoi.edu,
Deployment 3: The glider's sampling behavior changed on 2015-11-15 and it stopped sampling to full depth. Root cause unknown.,2015-11-14T16:00:00Z,2015-12-07T19:53:33Z,False,5273,,,GL376,[],[],,CP05MOAS,cdobson@whoi.edu,
Deployment 1: Secondary controller stopped due to a failure in the controller.  Instruments that do not log internally will have no data during this time period.,2015-11-15T05:00:00Z,2015-11-25T11:21:00Z,False,3142,,,RIS01,[],[],not_operational,GA03FLMA,swhite@whoi.edu,
Deployments 2 and 3: Data were not transmitted via satellite telemetry.,2015-11-16T10:36:00Z,2018-01-11T07:09:00Z,False,374,,,,[],[],,GA02HYPM,lgarzio@marine.rutgers.edu,
Deployment 2: No data available for the specified time period.,2015-11-17T12:59:59Z,2016-11-08T02:10:00Z,False,5170,02-PHSENE041,,RII11,[],[],not_operational,GA01SUMO,areed@whoi.edu,
Deployment 3: Secondary controller stopped due to a failure in the controller.  Instruments that do not log internally will have no data during this time period.,2015-11-17T19:00:00Z,2016-01-27T11:22:00Z,False,3172,,,RIS01,[],[],not_operational,GP03FLMB,swhite@whoi.edu,
"* UPDATED, 2019-01-25: After careful review, the original data product algorithm (pco2_pco2wat) for this sensor was found to contain an error that resulted in calculation of incorrect derived L1 pCO2 values. In consultation with the vendor, the algorithm has been corrected, verified, and uploaded to the OOI system. This update, effective 2019-01-10, applies to all deployments for this sensor. All derived L1pCO2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct algorithm.  The updated algorithm can be viewed at https://github.com/oceanobservatories/ion-functions/blob/master/ion_functions/data/co2_functions.py.  * Until further notice, derived L1 pCO2 data products from this sensor are incorrect and should not be used. A significant discrepancy has been uncovered between the pCO2 values from shipboard water samples vs. values calculated by OOI system. The pco2_pco2wat algorithm is under review and can be viewed at https://github.com/ooici/ion-functions/blob/master/ion_functions/data/co2_functions.py. To receive instant notification of updates to the code, add yourself as a watcher to the GitHub repository linked above. For further questions please email help@oceanobservatories.org.",2015-11-19T14:10:09Z,2019-01-09T16:00:00Z,False,311,02-PCO2WC053,recovered_host,RII11,[931],['pco2_seawater'],,GS01SUMO,friedrich.knuth@rutgers.edu,pco2w_abc_imodem_instrument_recovered
"* UPDATED, 2019-01-25: After careful review, the original data product algorithm (pco2_pco2wat) for this sensor was found to contain an error that resulted in calculation of incorrect derived L1 pCO2 values. In consultation with the vendor, the algorithm has been corrected, verified, and uploaded to the OOI system. This update, effective 2019-01-10, applies to all deployments for this sensor. All derived L1pCO2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct algorithm.  The updated algorithm can be viewed at https://github.com/oceanobservatories/ion-functions/blob/master/ion_functions/data/co2_functions.py.  * Until further notice, derived L1 pCO2 data products from this sensor are incorrect and should not be used. A significant discrepancy has been uncovered between the pCO2 values from shipboard water samples vs. values calculated by OOI system. The pco2_pco2wat algorithm is under review and can be viewed at https://github.com/ooici/ion-functions/blob/master/ion_functions/data/co2_functions.py. To receive instant notification of updates to the code, add yourself as a watcher to the GitHub repository linked above. For further questions please email help@oceanobservatories.org.",2015-11-19T15:10:09Z,2019-01-09T16:00:00Z,False,310,02-PCO2WC051,recovered_host,RII11,[931],['pco2_seawater'],,GS01SUMO,friedrich.knuth@rutgers.edu,pco2w_abc_imodem_instrument_recovered
Deployment 2: Mooring was deployed ~10m deeper than planned.,2015-11-21T13:51:00Z,2016-11-01T03:10:00Z,False,650,,,,[],[],,GA03FLMB,lgarzio@marine.rutgers.edu,
Deployments 2 and 3: Data were not transmitted via satellite telemetry.,2015-11-21T13:51:00Z,2018-01-12T05:07:00Z,False,376,,,,[],[],,GA03FLMB,lgarzio@marine.rutgers.edu,
"Deployment 1: The DOSTA's internal salinity setting was set to 35, but OOI processing previously assumed it was set to 0. This resulted in the ""DO- Pressure Sal Corrected (umol /kg)"" parameter being about 20% lower than what the value should be. A correction was implemented 2022-02-28. This deployment is affected by this change and users who have requested oxygen data prior to 2022-02-28 are encouraged to re-download the data. The raw data were not corrected. ",2015-11-24T09:30:00Z,2016-11-03T14:36:00Z,False,3701,02-DOSTAM000,,GL538,[],[],,GA05MOAS,cdobson@whoi.edu,
"The conductivity record shows evidence of biofouling with excessive, intermittent spikes towards 0.",2015-11-24T13:30:00Z,2015-12-09T10:30:00Z,False,4490,06-METBKA000,recovered_host,SBD11,"[1057, 3077]","['sea_surface_conductivity', 'met_salsurf']",fail,CE04OSSM,kuebelb@oregonstate.edu,metbk_a_dcl_instrument_recovered
Glider lost steering control as a result of fouling and went adrift. Glider was not recovered - only telemetered data are available.,2015-11-24T13:30:00Z,2016-07-25T08:55:00Z,False,170,,,PG562,[],[],,GA05MOAS,lgarzio@marine.rutgers.edu,
"The conductivity record shows evidence of biofouling with excessive, intermittent spikes towards 0.",2015-11-24T13:30:00Z,2015-12-09T10:30:00Z,False,6728,06-METBKA001,,SBD11,"[8120, 8122]","['raw_conductivity', 'sea_surface_conductivity']",fail,CE04OSSM,wingardc@oregonstate.edu,metbk_ct_instrument
"Deployment 1: The DOSTA's internal salinity setting was set to 35, but OOI processing previously assumed it was set to 0. This resulted in the ""DO- Pressure Sal Corrected (umol /kg)"" parameter being about 20% lower than what the value should be. A correction was implemented 2022-02-28. This deployment is affected by this change and users who have requested oxygen data prior to 2022-02-28 are encouraged to re-download the data. The raw data were not corrected. ",2015-11-24T13:30:00Z,2017-01-27T00:00:00Z,False,3702,02-DOSTAM000,,PG562,[],[],,GA05MOAS,cdobson@whoi.edu,
"The conductivity record shows evidence of biofouling with excessive, intermittent spikes towards 0.",2015-11-24T13:30:00Z,2015-12-09T10:30:00Z,False,6727,06-METBKA001,,SBD11,[1057],['sea_surface_conductivity'],fail,CE04OSSM,wingardc@oregonstate.edu,metbk_ct_dcl_instrument
"The conductivity record shows evidence of biofouling with excessive, intermittent spikes towards 0.",2015-11-24T13:30:00Z,2015-12-09T10:30:00Z,False,4489,06-METBKA000,telemetered,SBD11,"[1057, 3077]","['sea_surface_conductivity', 'met_salsurf']",fail,CE04OSSM,kuebelb@oregonstate.edu,metbk_a_dcl_instrument
"Deployment 1: The DOSTA's internal salinity setting was set to 35, but OOI processing previously assumed it was set to 0. This resulted in the ""DO- Pressure Sal Corrected (umol /kg)"" parameter being about 20% lower than what the value should be. A correction was implemented 2022-02-28. This deployment is affected by this change and users who have requested oxygen data prior to 2022-02-28 are encouraged to re-download the data. The raw data were not corrected. ",2015-11-24T13:47:00Z,2016-05-02T04:05:00Z,False,3703,02-DOSTAM000,,PG563,[],[],,GA05MOAS,cdobson@whoi.edu,
"*UPDATE 2025-08-12: Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.* Sea-Bird Scientific issued a notification that some CDOM fluorometers were producing biased values, which was traced back to three distinct root causes: Incorrect primary CDOM standard, in situ bias, and out-of-tolerance UV LEDs. We are working with Sea-Bird to obtain correction factors for the affected instruments; in the meantime, the CDOM data should be considered suspect and should not be used in any analyses",2015-11-24T13:55:30Z,2016-05-02T04:05:00Z,False,6048,03-FLORTM000,recovered_host,PG563,"[1480, 1481, 1482]","['sci_flbbcd_cdom_ref', 'sci_flbbcd_cdom_sig', 'sci_flbbcd_cdom_units']",,GA05MOAS,areed@whoi.edu,flort_m_sample
"Deployment 1: * UPDATED 2023-11-30: Science sampling was enabled on 2015-02-24 for a single profile. * The ballast pump developed erratic behavior which progressed to complete pump failure. Early signs of issue seen in late Dec 2015. Glider went adrift, the science sensors were turned off on 1/30/2016 and the glider was recovered on 05/02/2016.",2015-11-24T13:56:00Z,2016-05-02T04:05:00Z,False,415,,,PG563,[],[],,GA05MOAS,lgarzio@marine.rutgers.edu,
Deployments 2 and 3: Data were not transmitted via satellite telemetry.,2015-11-25T11:21:00Z,2018-01-09T04:15:00Z,False,375,,,,[],[],,GA03FLMA,lgarzio@marine.rutgers.edu,
HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,2015-11-26T04:00:00Z,2015-11-27T13:00:00Z,False,3861,10-PHSEND107,,LJ01C,[],[],fail,CE04OSBP,m.vardaro@gmail.com,
LILY tilt re-leveling occurred from 2015/11/26 17:39:25 to 2015/11/26 17:42:03.,2015-11-26T09:39:25Z,2015-11-26T09:42:03Z,False,56,05-BOTPTA301,,MJ03F,[],[],,RS03CCAL,,
The NUTNR on the NSIF for CE04OSSM is starting to show signs of biofouling (beginning on approximately 2015-11-29). Nitrogen data (NITROPT) from this date forward for the CE04OSSM-00001 deployment should be looked at carefully and considered as suspect.,2015-11-28T16:00:00Z,2016-05-08T17:00:00Z,False,887,07-NUTNRB000,,RID26,[],[],suspect,CE04OSSM,michaesm@marine.rutgers.edu,
Deployment 3: No data available for the specified time period.,2015-11-29T19:02:20Z,2015-12-04T16:14:29Z,False,4922,03-CTDBPC000,,RID27,[],[],not_operational,CP04OSSM,areed@whoi.edu,
Deployment 2: Glider steering failure linked to a leak in the digifin. Frequent motor faults reported beginning in Dec 2015 which lead to disabled dynamic steering control of the glider.,2015-11-30T16:00:00Z,2016-02-16T16:00:00Z,False,586,,,PG515,[],[],,GP05MOAS,lgarzio@marine.rutgers.edu,
HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,2015-12-02T13:00:00Z,2015-12-03T22:00:00Z,False,3862,10-PHSEND107,,LJ01C,[],[],fail,CE04OSBP,m.vardaro@gmail.com,
"Deployment 2: Instruments on this DCL have four multi-day data gaps in their recovered_host and telemetered datasets. These gaps are 2015-12-04 through 2015-12-14, 2016-01-06 through 2016-01-11, 2016-02-05 through 2016-02-10, and 2016-03-11 through 2016-03-14. No data expected for these time periods.",2015-12-03T16:00:00Z,2016-03-13T17:00:00Z,False,5280,,,RII11,[],[],,GA01SUMO,cdobson@whoi.edu,
"The surface expression for the profiler mooring broke free during a storm event on December 06, 2015 and ended up drifting north to Vancouver Island where it was recovered. No further telemetered data will be available from this mooring or profiler system for this deployment.",2015-12-05T22:50:00Z,2016-05-06T19:00:00Z,False,1665,,telemetered,,[],[],not_available,CE09OSPM,wingardc@oregonstate.edu,
HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,2015-12-06T07:00:00Z,2015-12-21T02:01:00Z,False,3863,10-PHSEND107,,LJ01C,[],[],fail,CE04OSBP,m.vardaro@gmail.com,
Deployment 3: No data available for the specified time period.,2015-12-10T13:02:20Z,2015-12-23T07:14:26Z,False,4923,03-CTDBPC000,,RID27,[],[],not_operational,CP04OSSM,areed@whoi.edu,
"Based on a HITL review and automated quality assessments of the data, the data highlighted during this time period is considered inaccurate and users should avoid using the data as part of any analysis.",2015-12-10T14:40:00Z,2016-05-10T08:22:00Z,False,3435,05-PCO2WB000,,MFD35,[],[],fail,CE01ISSM,wingardc@oregonstate.edu,
"A HITL review of the data has found unusual, nonrealistic data during this time range. The data during this time range is marked as failed and users should avoid using this data in their analysis. ",2015-12-11T08:35:00Z,2016-05-06T08:00:00Z,False,6452,03-CTDBPC000,telemetered,MFD37,"[1, 5, 13]","['sea_water_electrical_conductivity', 'sea_water_density', 'sea_water_practical_salinity']",fail,CE06ISSM,wingardc@oregonstate.edu,ctdbp_cdef_dcl_instrument
"A HITL review of the data has found unusual, nonrealistic data during this time range. The data during this time range is marked as failed and users should avoid using this data in their analysis. ",2015-12-11T08:35:00Z,2016-05-06T08:00:00Z,False,6453,03-CTDBPC000,recovered_inst,MFD37,"[194, 2821, 5, 13]","['conductivity', 'sea_water_electrical_conductivity', 'sea_water_density', 'sea_water_practical_salinity']",fail,CE06ISSM,wingardc@oregonstate.edu,ctdbp_cdef_instrument_recovered
"A HITL review of the data has found unusual, nonrealistic data during this time range. The data during this time range is marked as failed and users should avoid using this data in their analysis. ",2015-12-11T08:35:00Z,2016-05-06T08:00:00Z,False,6454,03-CTDBPC000,recovered_host,MFD37,"[1, 5, 13]","['sea_water_electrical_conductivity', 'sea_water_density', 'sea_water_practical_salinity']",fail,CE06ISSM,wingardc@oregonstate.edu,ctdbp_cdef_dcl_instrument_recovered
"Glider leaked on 2015-12-12 and prevented from diving. 2015-12-15, an attempt to resume diving resulted in a small addition of data in the recovered set.",2015-12-12T15:22:00Z,2015-12-15T11:00:00Z,False,1469,,recovered_host,GL327,[],[],,CE05MOAS,stuart.pearce@oregonstate.edu,
"Upon recovery of deployment 2, damage to some components of the surface buoy were noted (e.g., FDCHP was bent, the tops of the METBK-PRC and FleetBroadBand antenna were missing).",2015-12-13T16:00:00Z,2016-12-11T16:00:00Z,False,95,,,SBD12,[],[],,GS01SUMO,lgarzio@marine.rutgers.edu,
"Upon recovery of deployment 2, damage to some components of the surface buoy were noted (e.g., FDCHP was bent, the tops of the METBK-PRC and FleetBroadBand antenna were missing).",2015-12-13T16:00:00Z,2016-12-11T16:00:00Z,False,94,,,SBD11,[],[],,GS01SUMO,lgarzio@marine.rutgers.edu,
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-12-14T12:20:00Z,2015-12-14T13:30:00Z,False,3610,02-FLORDG032,,RII11,[],[],,GS01SUMO,swhite@whoi.edu,
Deployment 2: No data available for this deployment.,2015-12-14T12:20:00Z,2016-12-11T23:58:00Z,False,5298,02-FLORDG031,,RII11,[],[],not_available,GS01SUMO,cdobson@whoi.edu,
"Deployment 2: Recovered-instrument and telemetered values are offset for pressure, temperature, salinity, and density. The issue is unclear at this time.",2015-12-14T12:20:00Z,2016-05-06T05:00:00Z,False,412,02-CTDBPP033,,RII11,[],[],suspect,GS01SUMO,lgarzio@marine.rutgers.edu,
Deployment 2: There are many gaps in the recovered_host data for this deployment. In most cases the missing data are available in the telemtered streams.,2015-12-14T12:20:00Z,2016-12-11T23:58:00Z,False,5275,06-METBKA000,,SBD11,[],[],,GS01SUMO,cdobson@whoi.edu,
Deployment 2: Instrument bent at recovery.,2015-12-14T12:20:00Z,2016-12-11T23:58:00Z,False,755,08-FDCHPA000,,SBD12,[],[],,GS01SUMO,lgarzio@marine.rutgers.edu,
UPDATED 2020-06-19: The data calculation issue was resolved on 15 Feb 2019. * Dissolved Oxygen concentrations are currently not being calculated due to a function error. Issue under investigation (Redmine 13228).,2015-12-14T12:20:00Z,2019-02-14T16:00:00Z,False,789,02-DOSTAD031,,RII11,[],[],,GS01SUMO,lgarzio@marine.rutgers.edu,
Deployment 2: Bioshutter was missing at recovery.,2015-12-14T12:20:00Z,2016-12-11T23:58:00Z,False,757,08-SPKIRB000,,RID16,[],[],,GS01SUMO,lgarzio@marine.rutgers.edu,
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-12-14T12:20:00Z,2015-12-14T13:30:00Z,False,3609,02-FLORDG031,,RII11,[],[],,GS01SUMO,swhite@whoi.edu,
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-12-14T12:20:00Z,2015-12-14T13:30:00Z,False,3611,02-FLORDG033,,RII11,[],[],,GS01SUMO,swhite@whoi.edu,
"Deployment 2: Due to incorrect instrument configuration, these data products cannot be calculated.",2015-12-14T12:20:00Z,2016-12-11T23:58:00Z,False,2941,05-WAVSSA000,recovered_host,SBD12,[],[],,GS01SUMO,swhite@whoi.edu,wavss_a_dcl_motion_recovered
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-12-14T12:20:00Z,2015-12-14T13:30:00Z,False,3604,02-CTDBPP032,,RII11,[],[],,GS01SUMO,swhite@whoi.edu,
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-12-14T12:20:00Z,2015-12-14T13:30:00Z,False,3606,02-DOSTAD031,,RII11,[],[],,GS01SUMO,swhite@whoi.edu,
Deployment 2: Battery was not connected and the dummy plug was still installed at recovery.,2015-12-14T12:20:00Z,2016-12-11T23:58:00Z,False,756,07-NUTNRB000,,RID16,[],[],,GS01SUMO,lgarzio@marine.rutgers.edu,
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-12-14T12:20:00Z,2015-12-14T13:30:00Z,False,3603,02-CTDBPP031,,RII11,[],[],,GS01SUMO,swhite@whoi.edu,
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-12-14T12:20:00Z,2015-12-14T13:30:00Z,False,3607,02-DOSTAD032,,RII11,[],[],,GS01SUMO,swhite@whoi.edu,
"Deployment 2: Wind speeds may be low-biased (5%) at speeds > 5 m/s, as determined by comparisons with ship measurements and measurements from the FDCHP. Precipitation data are also suspect.",2015-12-14T12:20:00Z,2016-12-11T23:58:00Z,False,765,06-METBKA000,,SBD11,[],[],,GS01SUMO,lgarzio@marine.rutgers.edu,
UPDATED 2020-06-19: The data calculation issue was resolved on 15 Feb 2019. * Dissolved Oxygen concentrations are currently not being calculated due to a function error. Issue under investigation (Redmine 13228).,2015-12-14T12:20:00Z,2019-02-14T16:00:00Z,False,790,02-DOSTAD032,,RII11,[],[],,GS01SUMO,lgarzio@marine.rutgers.edu,
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-12-14T12:20:00Z,2015-12-14T13:30:00Z,False,3608,02-DOSTAD033,,RII11,[],[],,GS01SUMO,swhite@whoi.edu,
"Deployment 2: Due to incorrect instrument configuration, these data products cannot be calculated.",2015-12-14T12:20:00Z,2016-12-11T23:58:00Z,False,2939,05-WAVSSA000,recovered_host,SBD12,[],[],,GS01SUMO,swhite@whoi.edu,wavss_a_dcl_mean_directional_recovered
Deployment 1: This instrument was not deployed.  It was not a part of the baseline design.,2015-12-14T12:20:00Z,2015-12-14T13:30:00Z,False,3605,02-CTDBPP033,,RII11,[],[],,GS01SUMO,swhite@whoi.edu,
*UPDATED 2023-10-27: A correction has been implemented such that the recovered_instrument L1 and L2 data products are calculated except when the sampling period is interrupted or has data gaps. In that case the L1 and L2 products cannot be computed and are populated with NaNs.* There are errors in the calculations of the recovered_instrument L1 and L2 data products (motion-corrected wind speeds sonic temperature and flux data products). This issue is under investigation (Redmine 13402).,2015-12-14T12:20:00Z,,False,1395,08-FDCHPA000,recovered_inst,SBD12,[],[],,GS01SUMO,lgarzio@marine.rutgers.edu,fdchp_a_instrument_recovered
"Deployment 2:  The WAVSS instrument should sample at 4 Hz for 20 minutes every hour according to the OOI baseline sampling strategy. However, during this deployment, the instrument was erroneously configured with a sampling period of only 5 minutes.",2015-12-14T12:20:00Z,2016-12-11T23:58:00Z,False,1392,05-WAVSSA000,,SBD12,[],[],suspect,GS01SUMO,swhite@whoi.edu,
"* UPDATED, 2019-01-25: After careful review, the original data product algorithm (pco2_pco2wat) for this sensor was found to contain an error that resulted in calculation of incorrect derived L1 pCO2 values. In consultation with the vendor, the algorithm has been corrected, verified, and uploaded to the OOI system. This update, effective 2019-01-10, applies to all deployments for this sensor. All derived L1pCO2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct algorithm.  The updated algorithm can be viewed at https://github.com/oceanobservatories/ion-functions/blob/master/ion_functions/data/co2_functions.py.  * Until further notice, derived L1 pCO2 data products from this sensor are incorrect and should not be used. A significant discrepancy has been uncovered between the pCO2 values from shipboard water samples vs. values calculated by OOI system. The pco2_pco2wat algorithm is under review and can be viewed at https://github.com/ooici/ion-functions/blob/master/ion_functions/data/co2_functions.py. To receive instant notification of updates to the code, add yourself as a watcher to the GitHub repository linked above. For further questions please email help@oceanobservatories.org.",2015-12-14T12:20:00Z,2019-01-09T16:00:00Z,False,312,02-PCO2WC052,recovered_host,RII11,[931],['pco2_seawater'],,GS01SUMO,friedrich.knuth@rutgers.edu,pco2w_abc_imodem_instrument_recovered
Deployment 2: Recovered_instrument data not available for this deployment.,2015-12-14T12:20:00Z,2016-12-11T23:58:00Z,False,629,04-VELPTA000,,RID16,[],[],,GS01SUMO,lgarzio@marine.rutgers.edu,
